Attribute name,Score,Weight,Mismatch Weight
phone,100,40,
name_last,100,20,
primarySpecialty,100,20,
secondarySpecialty ,100,30,
name_middle,100,10,
title,100,3,
name_first,100,5,
gender,100,,80
isSoleProprietor,100,5,
mStreet,100,25,
mUnit,100,3,
mCity,100,5,
mRegion,100,3,
mPostCode,100,10,
mCounty,100,4,
mCountry,100,,80
pStreet,100,25,
pUnit,100,3,
pCity,100,5,
pRegion,100,3,
pPostCode,100,10,
pCounty,100,4,
pCountry,100,1,
,,,
,,,
,,,
"name_first, name_last",100,40,
"name_first, name_middle, name_last, title",100,100,
,,,
"name_first, name_last, phone",100,100,
"name_first, name_middle, name_last, title, phone",100,100,
,,,
"name_first, name_last, gender",100,45,
,,,
"mStreet, mCity, mRegion, mPostCode",100,70,
,,,
"pStreet, pCity, pRegion, pPostCode",100,70,
